Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Theoretically,"Practice Rock > Hyalite Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/106252233/theoretically,3.4,-1,"Trad, TR",5.10c,1,60,45.55519,-111.06181
"Bottomless Topless","North Face > Snowshed Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105735521/bottomless-topless,3.4,-1,"Trad, TR",5.10a,1,80,39.31633,-120.31906
"Gordon's Direct","Green Adjective Gully > Little Cottonwood Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105741215/gordons-direct,3.4,-1,"Trad, TR","5.11b R",1,80,40.5741,-111.7543
"Y-Crack (aka Old and in the Way)","Y-Crack Wall > Necedah (Petenwell Bluff) > Wisconsin",https://www.mountainproject.com/route/105731036/y-crack-aka-old-and-in-the-way,3.8,-1,"Trad, TR",5.10d,1,50,44.0442,-90.01955
"Extreme Unction","Watchtower Main > The Watchtower > Ferguson Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105739907/extreme-unction,3.4,-1,"Trad, TR",5.10a,1,50,40.61344,-111.7792
"Brinton's Direct","07: Brinton's Buttress > East Bluff 04 - East Rampart > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105730868/brintons-direct,3.4,-1,"Trad, TR",5.8+,1,90,43.41359,-89.71303
"Valdez Overhang","Chopping Block > Chopping Block > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105714995/valdez-overhang,3.4,-1,"Sport, TR",5.9,1,40,43.88538,-103.46937
"Number 6 a.k.a. The Bulge","Minnesota Strip > Interstate SP (Taylors Falls) > Minnesota",https://www.mountainproject.com/route/105826937/number-6-aka-the-bulge,3.4,-1,"Trad, TR",5.10a,1,60,45.39843,-92.6535
"Dippy Diagonal","Lower Major Mass > 5.3 - Doorway Rocks - Major Mass > East Bluff 05 - Potholes Area > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105730442/dippy-diagonal,3.5,-1,"Trad, TR",5.7,1,,43.41382,-89.71997
"Flake Route","05: Pedestal Buttress > East Bluff 04 - East Rampart > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105730640/flake-route,3.7,-1,"Trad, TR","5.10d PG13",1,,43.41359,-89.71252
Charybdis,"17: Hawk's Nest > East Bluff 04 - East Rampart > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105730940/charybdis,3.4,-1,"Trad, TR",5.7,1,90,43.41353,-89.7158
"Strange Science","Middle Wall > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105754129/strange-science,3.4,-1,"Sport, TR",5.11c,1,50,39.99843,-105.41208
