Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Texas Flake","Park Boulder > Downtown Boulders > Buena Vista > Colorado",https://www.mountainproject.com/route/106484896/texas-flake,3.0,-1,Boulder,V0-1,1,8,38.8435,-106.1202
"Cascade Arete","Cascade Boulders > Buena Vista > Colorado",https://www.mountainproject.com/route/106796667/cascade-arete,2.0,-1,Boulder,V3,1,,38.71242,-106.24696
MoFo,"Cascade Boulders > Buena Vista > Colorado",https://www.mountainproject.com/route/106796695/mofo,3.0,-1,Boulder,V3,1,,38.71242,-106.24696
"Southern Sun","The Buena Boulder > Nathrop Blocks > Buena Vista > Colorado",https://www.mountainproject.com/route/109135021/southern-sun,2.0,-1,Boulder,V0,1,20,38.7565,-106.07547
"Sunshine Superman?","The Buena Boulder > Nathrop Blocks > Buena Vista > Colorado",https://www.mountainproject.com/route/109135017/sunshine-superman,1.5,-1,Boulder,V1,1,20,38.7565,-106.07547
"Nathrop Arete","The Buena Boulder > Nathrop Blocks > Buena Vista > Colorado",https://www.mountainproject.com/route/109135026/nathrop-arete,2.0,-1,Boulder,"V2 PG13",1,22,38.7565,-106.07547
"Light Sentence","The Buena Boulder > Nathrop Blocks > Buena Vista > Colorado",https://www.mountainproject.com/route/105759093/light-sentence,2.2,-1,Boulder,V3,1,10,38.7565,-106.07547
V0,"Nathrop Cube > Nathrop Blocks > Buena Vista > Colorado",https://www.mountainproject.com/route/109135056/v0,1.5,-1,Boulder,V0,1,10,38.75655,-106.07559
"The Cling","Nathrop Cube > Nathrop Blocks > Buena Vista > Colorado",https://www.mountainproject.com/route/109135063/the-cling,1.7,-1,Boulder,V0,1,10,38.75655,-106.07559
"The Verse","Nathrop Cube > Nathrop Blocks > Buena Vista > Colorado",https://www.mountainproject.com/route/109135049/the-verse,2.3,-1,Boulder,V1,1,20,38.75655,-106.07559
"V0 Face","Maiden Block > Nathrop Blocks > Buena Vista > Colorado",https://www.mountainproject.com/route/109135183/v0-face,1.0,-1,Boulder,V0,1,10,38.75593,-106.0754
Pocketmaster,"Maiden Block > Nathrop Blocks > Buena Vista > Colorado",https://www.mountainproject.com/route/109135190/pocketmaster,2.0,-1,Boulder,V0,1,8,38.75593,-106.0754
"Marrying Maiden?","Maiden Block > Nathrop Blocks > Buena Vista > Colorado",https://www.mountainproject.com/route/109135178/marrying-maiden,-1.0,-1,Boulder,V2,1,13,38.75593,-106.0754
"You Rang?","Butler Block > Nathrop Blocks > Buena Vista > Colorado",https://www.mountainproject.com/route/109135215/you-rang,1.6,-1,Boulder,V0,1,15,38.75586,-106.07531
Servitude?,"Butler Block > Nathrop Blocks > Buena Vista > Colorado",https://www.mountainproject.com/route/109135210/servitude,2.2,-1,Boulder,V3,1,12,38.75586,-106.07531
"The Paddle","Raft Block > Nathrop Blocks > Buena Vista > Colorado",https://www.mountainproject.com/route/109135235/the-paddle,2.6,-1,Boulder,V1,1,19,38.75582,-106.07514
"Bad Beta","Aloe Vera Boulder > Nathrop Blocks > Buena Vista > Colorado",https://www.mountainproject.com/route/111958526/bad-beta,1.5,-1,Boulder,V0+,1,,38.75686,-106.07555
