Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"3 Strikes You're Out","Battle of the Bulge Buttress > Indian Creek > Moab Area > Utah",https://www.mountainproject.com/route/105717358/3-strikes-youre-out,3.5,-1,Trad,5.11,1,90,38.03837,-109.54917
"Teeny Face","i. High E > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/106733193/teeny-face,3.5,-1,Trad,5.10a,1,,41.74421,-74.179
"Crazy Alice","Zoo Wall > The Narrows > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105860080/crazy-alice,3.5,-1,Trad,5.8,1,60,34.69731,-98.66948
"Orange Out Direct","The Overlook > Oak Creek Canyon Overlook > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105831360/orange-out-direct,3.5,-1,Trad,5.9,1,70,35.03049,-111.73199
Screw,"Valley Massif > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105751207/screw,3.5,-1,Trad,5.7,2,,41.17325,-105.37667
"Climbin' Punishment","Southern Pillar > Seneca Rocks > West Virginia",https://www.mountainproject.com/route/106040877/climbin-punishment,3.5,-1,Trad,5.8+,3,180,38.83256,-79.36734
"Farewell to Arms","East Face > Snowshed Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105885838/farewell-to-arms,3.5,-1,Trad,5.10b,1,,39.31625,-120.3185
"Rock Warrior","Black Velvet Wall > 16-Black Velvet Canyon > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/105883684/rock-warrior,3.6,-1,Trad,"5.10b R",6,,36.03518,-115.46652
"Open Book","Finger of Fate > The Sawtooth Range > Central Idaho > Idaho",https://www.mountainproject.com/route/106531483/open-book,3.7,-1,"Trad, Alpine",5.8,5,800,44.0262,-114.96179
Commitment,"First Tier > Five Open Books > Yosemite Falls Area > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105867013/commitment,3.4,-1,Trad,5.9,3,,37.74798,-119.59857
"Plumb Line","Plumb Line Crag > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105764358/plumb-line,3.5,-1,Trad,5.9+,1,40,41.15662,-105.32649
"The Womb","North Side > Looking Glass Rock > North Carolina",https://www.mountainproject.com/route/105874488/the-womb,3.7,-1,Trad,5.11a,3,250,35.30546,-82.79093
"Fancy Free","The Charlatan > The Needles > The Needles / Kern River > Southern Sierra > California",https://www.mountainproject.com/route/105922673/fancy-free,3.5,-1,Trad,5.10,3,400,36.10825,-118.48129
